make,model,version,ano,mot_tipo_motor,mot_potencia_hp,mot_torque_nm,mot_aspiracion,mot_traccion,mot_transmision,mot_marchas,dim_largo_mm,dim_ancho_mm,dim_alto_mm,dim_batalla_mm,dim_peso_kg,cap_baul_l,cap_carga_util_kg,remolque_frenado_kg,cap_plazas,seg_pas_airbags_cnt,seg_act_abs,seg_act_esp,eff_consumo_l_100km,eff_kwh_100km,eff_co2_g_km,bateria_kwh,autonomia_km,carga_dc_kw,carga_ac_kw,info_pantalla_pulg,info_android_auto,info_apple_carplay,info_camara_360,info_cargador_inalambrico,amen_techo_panoramico,conf_asientos_calefaccion,conf_asientos_ventilacion,adas_aeb,adas_acc,adas_lka,adas_bsm,adas_rcta,luces_matriz_led,chasis_frenos_del,chasis_frenos_tras,chasis_susp_del,chasis_susp_tras,ruedas_neumatico_medida,ruedas_rin_pulg,angulo_ataque_deg,angulo_salida_deg,angulo_quiebre_deg,despeje_suelo_mm,cap_tanque_l,fuente_url,ano_source,ano_catalog,has_year,has_cat_year,conflict,ambiguous_source
MAZDA,CX-5,I GRAND TOURING 2WD,2025,gasolina,188.0,,,,AUTOMÁTICA,6.0,,,,,,,,,,,1,0,,,,,,,,10.0,1,1,0,1,0,0,1,0,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-cx-5-2025-v01.pdf,file:ano,2013,True,True,True,False
MAZDA,CX-50,2.5 TURBO SIGNATURE AWD,2025,gasolina,228.0,,,AWD,AUTOMÁTICA,6.0,,,,,,,,,,1.0,1,0,,,,,,,,10.0,1,1,0,1,1,0,1,0,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-cx-50-2025-v01.pdf,file:ano,2023,True,True,True,False
MAZDA,CX-90,TURBO SIGNATURE AWD,2025,híbrido,340.0,,,AWD,AUTOMÁTICA,8.0,,,,,,,,,,1.0,1,0,,,,,,,,12.3,1,1,0,1,1,1,1,0,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-cx-90-2025-v01.pdf,file:ano,2024,True,True,True,False
MAZDA,MX-5,GRAND TOURING POWER RETRACTABLE HARD TOP,2025,gasolina,181.0,,,RWD,AUTOMÁTICA,6.0,,,,,,,,,,,1,0,,,,,,,,,1,1,0,0,0,1,0,0,1,0,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-mx-5-2025-v01.pdf,file:ano,2007,True,True,True,False
MAZDA,MX-5,GRAND TOURING POWER RETRACTABLE HARD TOP,2024,gasolina,181.0,,,RWD,AUTOMÁTICA,6.0,,,,,,,,,,,1,0,,,,,,,,,1,1,0,0,0,1,0,0,1,0,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-mx-5-i-sport-2024-v01.pdf,file:ano,2007,True,True,True,False
MAZDA,MX-5,GRAND TOURING POWER RETRACTABLE HARD TOP,2025,gasolina,181.0,,,RWD,AUTOMÁTICA,6.0,,,,,,,,,,,1,0,,,,,,,,,1,1,0,0,0,1,0,0,1,0,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda-mx-5-rf-2025-v01.pdf,file:ano,2007,True,True,True,False
MAZDA,MAZDA2,I GRAND TOURING 5 PUERTAS T/A,2026,gasolina,109.0,,,,MANUAL,6.0,,,,,,,,,,,1,0,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda2-hatchback-2026-v01.pdf,file:ano,2016,True,True,True,False
MAZDA,MAZDA2,I GRAND TOURING 5 PUERTAS T/A,2026,gasolina,109.0,,,,MANUAL,6.0,,,,,,,,,,,1,0,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda2-sedan-2026-v01.pdf,file:ano,2016,True,True,True,False
MAZDA,MAZDA3,HATCHBACK S TA BOLSAS DE AIRE,2025,gasolina,186.0,,,AWD,AUTOMÁTICA,6.0,,,,,,,,,,1.0,1,0,,,,,,,,10.0,1,1,0,1,0,0,0,0,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda3-hatchback-2025-v01.pdf,file:ano,2007,True,True,True,False
MAZDA,MAZDA3,SEDAN S TA BOLSAS DE AIRE,2025,gasolina,186.0,,,AWD,MANUAL,6.0,,,,,,,,,,1.0,1,0,,,,,,,,10.0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/mazda/ficha-tecnica-mazda3-sedan-2025-v01.pdf,file:ano,2007,True,True,True,False
NISSAN,KICKS,1.6 ADVANCE LTS CVT A/C PAQ SEG,2025,eléctrico,,,,,,,,,,,,,,,,,0,0,,,,,,,,12.3,0,0,0,1,1,0,0,1,0,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-kicks-catalogo.pdf,file:ano,2019,True,True,True,False
NISSAN,KICKS,1.6 ADVANCE LTS CVT A/C PAQ SEG,2025,eléctrico,118.0,,,,,,,,,,,,,,5.0,,1,0,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-kicks-play-catalogo.pdf,file:ano,2019,True,True,True,False
NISSAN,KICKS,1.6 ADVANCE LTS CVT A/C PAQ SEG,2025,eléctrico,,2.0,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-kicks_e_power-catalogo.pdf,file:ano,2019,True,True,True,False
NISSAN,SENTRA,ELITE PIEL CVT,2025,eléctrico,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-sentra-catalogo.pdf,file:ano,2011,True,True,True,False
NISSAN,URVAN,PANEL 4 PTAS DV LARGA VENT TOLDO ALT T/M,2025,gasolina,,,,,MANUAL,5.0,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-urvan_panel-catalogo.pdf,file:ano,2012,True,True,True,False
NISSAN,V-DRIVE,V-DRIVE TM A/C AUDIO 24,2025,HR16DE,,,,,,5.0,,,,,,460.0,,,,,1,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-v_drive-catalogo.pdf,file:ano,2024,True,True,True,False
NISSAN,VERSA,VERSA GO ASIENTO GIRATORIO ADVANCE TA '1,2025,eléctrico,,,,,,,,,,,,482.0,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-versa-catalogo.pdf,file:ano,2019,True,True,True,False
NISSAN,X-TRAIL,EXCLUSIVE E-POWER 2 ROW 23,2025,eléctrico,,2.0,,,,,,,,,,,,,,,1,0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-x_trail_e_power-catalogo.pdf,file:ano,2023,True,True,True,False
NISSAN,Z,TOURING TA 23,2025,VR30DDTT (Twin Turbo),400.0,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,0,0,0,0,0,1,0,1,1,1,0,,,,,,19.0,,,,,,file://data/oem_specs_processed/nissan/nissan-2025-z-catalogo.pdf,file:ano,2023,True,True,True,False
TOYOTA,HILUX,D-CAB BASE 4X2 (DOBLE CABINA BASE),2025,híbrido,48.0,,,4WD,MANUAL,6.0,,,,,,,,,3.0,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_HILUX_20DIESEL_20y_20GASOLINA_202025.pdf.coredownload.pdf,text:MY,2016,True,True,True,False
TOYOTA,AVANZA,XLE CVT,2025,gasolina,,,,FWD,MANUAL,5.0,,,,,,,,,7.0,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_Tecnica_AVANZA_25_web.pdf.coredownload.pdf,text:MY,2022,True,True,True,False
TOYOTA,HIACE,12 PASAJEROS,2025,gasolina,,,,RWD,MANUAL,6.0,,,,,,,,,2.0,1.0,1,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_Tecnica_HIACE_25_web.pdf.coredownload.pdf,text:MY,2020,True,True,True,False
TOYOTA,PRIUS,BASE,2026,híbrido,13.5,,,FWD,,,,,,,,,,,5.0,2.0,1,1,,,,,,,,12.3,1,1,0,1,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_Tecnica_PRIUS_26_web.pdf.coredownload.pdf,text:MY,2020,True,True,True,False
TOYOTA,RAV4,LIMITED HV SIN JBL,2025,híbrido,,,,FWD,AUTOMÁTICA,8.0,,,,,,,,,5.0,2.0,1,1,,,,,,,,12.3,1,1,0,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_Tecnica_RAV4_25_web.pdf,text:MY,2022,True,True,True,False
TOYOTA,RAV4,LIMITED HV SIN JBL,2025,híbrido,,,,FWD,AUTOMÁTICA,8.0,,,,,,,,,5.0,2.0,1,1,,,,,,,,12.3,1,1,0,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_Tecnica_RAV4_25_web.pdf.coredownload.pdf,text:MY,2022,True,True,True,False
TOYOTA,SEQUOIA,5.7L V8 LIMITED,2025,gasolina,,,,RWD,AUTOMÁTICA,10.0,,,,,,,,,8.0,2.0,1,1,,,,,,,,12.3,0,0,0,0,1,0,0,1,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_Tecnica_SEQUOIA_25_web.pdf.coredownload.pdf,text:MY,2009,True,True,True,False
TOYOTA,YARIS,BASE CVT,2025,gasolina,,,,FWD,CVT,7.0,,,,,,,,,5.0,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_Tecnica_YARIS_HB_25_web.pdf.coredownload.pdf,text:MY,2023,True,True,True,False
TOYOTA,YARIS,BASE CVT,2025,gasolina,,,,FWD,MANUAL,5.0,,,,,,,,,5.0,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,1,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_Tecnica_Yaris_Sedan_25_web.pdf.coredownload.pdf,text:MY,2023,True,True,True,False
TOYOTA,COROLLA,BASE CVT,2025,híbrido,,,,FWD,CVT,,,,,,,,,,5.0,2.0,1,1,,,,,,,,10.5,1,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_tecnica_COROLLA_25_web.pdf.coredownload.pdf,text:MY,2015,True,True,True,False
TOYOTA,COROLLA,BASE CVT,2025,híbrido,,,,FWD,CVT,10.0,,,,,,,,,5.0,2.0,1,1,,,,,,,,,1,1,0,1,0,1,0,1,0,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_tecnica_COROLLA_CROSS_25_web.pdf.coredownload.pdf,text:MY,2015,True,True,True,False
TOYOTA,COROLLA,BASE CVT,2025,híbrido,600.0,,,4WD,,6.0,,,,,,,,,5.0,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_tecnica_COROLLA_CROSS_HEV_25_web.pdf.coredownload.pdf,text:MY,2015,True,True,True,False
TOYOTA,COROLLA,XLE HEV,2025,híbrido,600.0,,,FWD,,,,,,,,,,,5.0,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_tecnica_COROLLA_HEV_25_web.pdf.coredownload.pdf,text:MY,2023,True,True,True,False
TOYOTA,HIGHLANDER,LIMITED BLUE-RAY,2025,híbrido,650.0,,,FWD,,6.0,,,,,,,,,8.0,1.0,1,1,,,,,,,,12.3,1,1,0,1,1,1,1,1,0,1,1,1,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_tecnica_HIGHLANDER_HEV_25_web.pdf.coredownload.pdf,text:MY,2021,True,True,True,False
TOYOTA,RAIZE,XLE CVT BI-TONO,2025,gasolina,,,,FWD,MANUAL,5.0,,,,,,,,,5.0,2.0,1,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_tecnica_RAIZE_25_web.pdf.coredownload.pdf,text:MY,2022,True,True,True,False
TOYOTA,RAV4,LIMITED HV SIN JBL,2025,híbrido,118.0,,,AWD,,,,,,,,,,,5.0,1.0,1,1,,,,,,,,12.3,1,1,0,1,1,0,0,1,0,1,1,0,0,,,,,,,,,,,,file://data/oem_specs_processed/toyota/Ficha_tecnica_RAV4_HEV_25_web.pdf.coredownload.pdf,text:MY,2022,True,True,True,False
VOLKSWAGEN,GLI,GLI DSG,2026,gasolina,230.0,350.0,,Delantera,,,4720.0,1799.0,1459.0,2686.0,,,,,5.0,,1,1,,,,,,,,10.0,0,0,0,1,0,1,1,1,1,1,0,0,0,Disco ventilado,Disco,Mc Pherson,Independiente Fourlink,,,,,,,,file://data/oem_specs_processed/vw/volkswagen-gli-2026-ficha-tecnica.pdf,file:ano,2007,True,True,True,False
VOLKSWAGEN,JETTA,COMFORTLINE TIP. BOLSAS AIRE DEL,2026,gasolina,150.0,250.0,,Delantera,,,4720.0,1799.0,1459.0,2686.0,,,,,5.0,,1,1,,,,,,,,10.0,0,0,0,1,0,0,0,0,1,1,0,0,0,Disco ventilado,Disco,Mc Pherson,Semi-independiente,,,,,,,,file://data/oem_specs_processed/vw/volkswagen-jetta-2026-ficha-tecnica.pdf,file:ano,2016,True,True,True,False
VOLKSWAGEN,GTI,GTI DSG,2025,gasolina,261.0,370.0,,Delantera,,,4289.0,1789.0,1456.0,2627.0,,,,,5.0,1.0,1,1,,,,,,,,12.9,0,0,0,1,0,1,1,1,1,1,0,0,0,Disco ventilado,Disco,Mc Pherson,Independiente Fourlink,,,,,,,,file://data/oem_specs_processed/vw/volkswagen-nuevo-gti-2025-ficha-tecnica.pdf,file:ano,2007,True,True,True,False
VOLKSWAGEN,TIGUAN,2.0 TURBO PIEL TRACK & FUN 4MOTION AT,2025,gasolina,150.0,250.0,,Delantera,,,4670.0,1866.0,1665.0,2791.0,,,,,5.0,,1,1,,,,,,,,12.9,0,0,1,1,0,1,1,0,1,1,0,0,0,Disco ventilado,Disco,Mc Pherson,Independiente Fourlink,,,,,,,,file://data/oem_specs_processed/vw/volkswagen-nuevo-tiguan-2025-ficha-tecnica.pdf,text:MY,2015,True,True,True,False
VOLKSWAGEN,POLO,COMFORTLINE PLUS TIPTRONIC,2026,gasolina,109.0,155.0,,Delantera,,,4079.0,1751.0,1471.0,2566.0,,,,,5.0,,1,1,,,,,,,,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,Disco,Tambor,McPherson,Semi-Independiente,,,,,,,,file://data/oem_specs_processed/vw/volkswagen-polo-2026-ficha-tecnica.pdf,file:ano,2020,True,True,True,False
VOLKSWAGEN,TERAMONT,PEAK EDITION LONG DRIVE,2025,gasolina,269.0,370.0,,Delantera,,,,,,,,,,,7.0,,1,1,,,,,,,,12.0,0,0,0,1,0,1,1,0,1,0,0,0,0,Disco ventilado,Disco ventilado,Mc Pherson,"Independiente
Fourlink",,,,,,,,file://data/oem_specs_processed/vw/volkswagen-teramont-2025-ficha-tecnica.pdf,file:ano,2024,True,True,True,False
VOLKSWAGEN,VIRTUS,COMFORTLINE TIP. SOUND,2025,gasolina,110.0,152.0,,Delantera,,,,,,,,,,,5.0,,1,1,,,,,,,,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,Disco,Tambor,MC Pherson,Semi-independiente,,,,,,,,file://data/oem_specs_processed/vw/volkswagen-virtus-2025-ficha-tecnica.pdf,file:ano,2024,True,True,True,False
GWM,ORA 03,48KWH PREMIUM,2025,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs/gwm/GWM_ORA03-ficha-tecnica-jul-2025.pdf,file:mes-ano,2024,True,True,True,False
FORD,TERRITORY,TITANIUM FWD 1.8L,2026,gasolina,,,,FWD,,7.0,,,,,,,,,,,0,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-territory-2026-catalogo-descargable.pdf,file:ano,2023,True,True,True,False
FORD,TRANSIT,BUS 15 PASAJEROS LARGA LWB SIN AA TRASER,2026,diésel,287.0,,,,MANUAL,6.0,,,,,,,,,6.0,,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,file://data/oem_specs_processed/ford/ford-transit-van-chasis-pasajeros-2026-catalogo-descargable.pdf,file:ano,2021,True,True,True,False
