make,model,version,ano,header_description,body_style,transmission,numero_de_puertas,cab_type,driven_wheels,msrp,photo_path,vehicleid,asientos_delanteros_con_ventilacion_conductor_/_pasajero_,tipo_de_hybrid,pantalla_tactil,integracion_movil_para_apple_carplay,rieles_de_techo,quemacocos_delantero,seguros_electricos_en_las_puertas,ventanas_electricas_adelante_/_atras_,volante_electrico_ajustable,asistente_de_estacionamiento_frontal,plug_in,aire_acondicionado,precio_de_transaccion,preparacion_para_remolque,apertura_remota_del_maletero/puerta_posterior,ruedas_traseras,bolsas_de_aire_laterales_tipo_cortina_adelante_/_de_adelante_h,capacidad_de_asientos,zonas_con_control_del_clima,enchufe_de_carga,enchufe_de_12v_adelante_/_atras_/_zona_de_carga_,asientos_delanteros_con_calefaccion_conductor_/_pasajero_,techo_corredizo_delantero,control_de_estabilidad,camara_de_punto_ciego,caballos_de_fuerza,bolsas_de_aire_delanteras_conductor_/_pasajero_,sistema_de_alerta_de_colision,limpiaparabrisas_con_sensores_de_lluvia,bocinas,llave_inteligente,abs,traccion,asistente_de_estacionamiento_trasero,tapizado_adicional_de_asiento,combinado_km/l_,control_electrico_de_traccion,integracion_movil_para_android_auto,bolsas_de_aire_para_las_rodillas_conductor_/_pasajero_,tipo,faros_delanteros,ruedas_delanteras,cierre_automatico_del_maletero/puerta_posterior,control_de_frenado_en_curvas,modo_de_manejo_de_direccion,motor,bolsas_de_aire_antisumergimiento_atras_/_tercera_fila_,camara_con_vista_envolvente,luces_antiniebla_delanteras,tercera_fila_de_asientos,bolsas_de_aire_laterales_adelante_/_atras_/_tercera_fila_,camara_de_punto_ciego,sensor_de_advertencia_del_punto_ciego,control_automatico_de_la_velocidad,longitud_mm_,tipo_de_combustible,enganche_de_remolque
BMW,M,M2 Coupé,2024,BMW M M2 Coupé,Coupe,Automático,2,No disponible,RWD,1745000.0,/SSCMEX/BMW/SERIES 2/2024/2CO.JPG,836343520240111,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1745000.00,No disponible,No Disponible,"20"" Aluminio, Opcional 19x10.5"" Aluminio",,4,Tres,,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar , DSC",,460,Estándar / Estándar,Estándar ,No disponible,No disponible,"Estándar, Comfort Access ",Estándar,trasera,"J, Estándar ",Opcional Piel,11.8,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio, Opcional 19x9.5"" Aluminio",No Disponible ,Estándar,Incluido,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Opcional,Opcional ,4580,Gasolina Premium,No Disponible
BMW,M,M2 Coupé,2024,BMW M M2 Coupé,Coupe,Automático,2,No disponible,RWD,1745000.0,/SSCMEX/BMW/SERIES 2/2024/2CO.JPG,836343520240111,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1745000.00,No disponible,No Disponible,"20"" Aluminio, Opcional 19x10.5"" Aluminio",,4,Tres,,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,"Estándar , DSC",,460,Estándar / Estándar,Estándar ,No disponible,No disponible,"Estándar, Comfort Access ",Estándar,trasera,"J, Estándar ",Opcional Piel,11.8,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio, Opcional 19x9.5"" Aluminio",No Disponible ,Estándar,Incluido,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Opcional,Opcional ,4580,Gasolina Premium,No Disponible
BMW,M,M2 Coupé,2025,BMW M M2 Coupé,Coupe,Automático,2,No disponible,RWD,1745000.0,/SSCMEX/BMW/SERIES 2/2025/2CO.JPG,836343520250101,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1745000.00,No disponible,No Disponible,"20"" Aluminio, Opcional 19x10.5"" Aluminio",,4,Tres,,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,Estándar ,,460,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,trasera,"J, Estándar ",Opcional Piel,11.8,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio, Opcional 19x9.5"" Aluminio",No Disponible ,Estándar,Incluido,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Opcional,Opcional ,4580,Gasolina Premium,No Disponible
BMW,M,M2 Coupé,2025,BMW M M2 Coupé,Coupe,Automático,2,No disponible,RWD,1745000.0,/SSCMEX/BMW/SERIES 2/2025/2CO.JPG,836343520250101,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1745000.00,No disponible,No Disponible,"20"" Aluminio, Opcional 19x10.5"" Aluminio",,4,Tres,,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,Estándar ,,460,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,trasera,"J, Estándar ",Opcional Piel,11.8,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio, Opcional 19x9.5"" Aluminio",No Disponible ,Estándar,Incluido,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Opcional,Opcional ,4580,Gasolina Premium,No Disponible
BMW,M,M2 Coupé,2026,BMW M M2 Coupé,Coupe,Automático,2,No disponible,RWD,1764900.0,/SSCMEX/BMW/SERIES 2/2026/2CO.JPG,836343520250522,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1764900.00,No disponible,No Disponible,"20"" Aluminio, Opcional 19x10.5"" Aluminio",,4,Tres,,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,Estándar ,,460,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,trasera,"J, Estándar ",Opcional Piel,11.8,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio, Opcional 19x9.5"" Aluminio",No Disponible ,Estándar,Incluido,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Opcional,Opcional ,4580,Gasolina Premium,No Disponible
BMW,M,M2 Coupé,2026,BMW M M2 Coupé,Coupe,Automático,2,No disponible,RWD,1764900.0,/SSCMEX/BMW/SERIES 2/2026/2CO.JPG,836343520250522,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1764900.00,No disponible,No Disponible,"20"" Aluminio, Opcional 19x10.5"" Aluminio",,4,Tres,,Estándar / No Disponible / Estándar,Estándar / Estándar,No disponible,Estándar ,,460,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,trasera,"J, Estándar ",Opcional Piel,11.8,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio, Opcional 19x9.5"" Aluminio",No Disponible ,Estándar,Incluido,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,Opcional,Opcional ,4580,Gasolina Premium,No Disponible
BMW,M,M3 CS (Automático),2024,BMW M M3 CS (Automático),Sedan,Automático,4,No disponible,4WD,3325000.0,/SSCMEX/BMW/SERIES 3/2024/4SA-4.JPG,842246320240416,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,3325000.00,No disponible,No Disponible,"20"" Aluminio",,5,Tres,,Estándar / Estándar / Estándar,Estándar / Estándar,No disponible,"Estándar , Dynamic Stability Control (DSC)",,551,Estándar / Estándar,Estándar ,No disponible,No disponible,"Estándar, Comfort Access ",Estándar,xDrive 4x4,"J, Estándar ",Cuero Premium,9.6,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio",No Disponible ,Estándar,No disponible,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,No Disponible ,4794,Gasolina Premium,No Disponible
BMW,M,M3 CS (Automático),2024,BMW M M3 CS (Automático),Sedan,Automático,4,No disponible,4WD,3325000.0,/SSCMEX/BMW/SERIES 3/2024/4SA-4.JPG,842246320240416,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,3325000.00,No disponible,No Disponible,"20"" Aluminio",,5,Tres,,Estándar / Estándar / Estándar,Estándar / Estándar,No disponible,"Estándar , Dynamic Stability Control (DSC)",,551,Estándar / Estándar,Estándar ,No disponible,No disponible,"Estándar, Comfort Access ",Estándar,xDrive 4x4,"J, Estándar ",Cuero Premium,9.6,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio",No Disponible ,Estándar,No disponible,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,No Disponible ,4794,Gasolina Premium,No Disponible
BMW,M,XM Automático,2024,BMW M XM Automático,Todo Terreno,Automático,5,No disponible,AWD,4200000.0,/SSCMEX/BMW/XM/2024/5OD-4.JPG,835916020240401,No Disponible / No Disponible,Hibrido Activo,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,Estándar,Estándar,4000000.00,No disponible,No Disponible,"21"" Aluminio, Opcional 22x10.5"" Aluminio, Opcional 23x10.5"" Aluminio",,5,Cuatro,,Estándar / Estándar / Estándar,Opcional / Opcional,No disponible,Estándar ,,653,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,xDrive 4x4,"J, Estándar ",Opcional Cuero Premium,No disponible,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"21"" Aluminio, Opcional 22x9.5"" Aluminio, Opcional 23x9.5"" Aluminio",Estándar ,Estándar,Incluido,4.4L En V8,No Disponible / No Disponible,Estándar ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Estándar ,5110,Eléctrico,No Disponible
BMW,M,XM Automático,2024,BMW M XM Automático,Todo Terreno,Automático,5,No disponible,AWD,4200000.0,/SSCMEX/BMW/XM/2024/5OD-4.JPG,135916020240401,No Disponible / No Disponible,Hibrido Activo,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,Estándar,Estándar,4000000.00,No disponible,No Disponible,"21"" Aluminio, Opcional 22x10.5"" Aluminio, Opcional 23x10.5"" Aluminio",,5,Cuatro,,Estándar / Estándar / Estándar,Opcional / Opcional,No disponible,Estándar ,,653,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,xDrive 4x4,"J, Estándar ",Opcional Cuero Premium,No disponible,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"21"" Aluminio, Opcional 22x9.5"" Aluminio, Opcional 23x9.5"" Aluminio",Estándar ,Estándar,Incluido,4.4L En V8,No Disponible / No Disponible,Estándar ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Estándar ,5110,Eléctrico,No Disponible
BMW,M,XM Automático,2024,BMW M XM Automático,Todo Terreno,Automático,5,No disponible,AWD,4200000.0,/SSCMEX/BMW/XM/2024/5OD-4.JPG,835916020240401,No Disponible / No Disponible,Hibrido Activo,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,Estándar,Estándar,4000000.00,No disponible,No Disponible,"21"" Aluminio, Opcional 22x10.5"" Aluminio, Opcional 23x10.5"" Aluminio",,5,Cuatro,,Estándar / Estándar / Estándar,Opcional / Opcional,No disponible,Estándar ,,653,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,xDrive 4x4,"J, Estándar ",Opcional Cuero Premium,No disponible,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"21"" Aluminio, Opcional 22x9.5"" Aluminio, Opcional 23x9.5"" Aluminio",Estándar ,Estándar,Incluido,4.4L En V8,No Disponible / No Disponible,Estándar ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Estándar ,5110,Eléctrico,No Disponible
BMW,M,XM Automático,2024,BMW M XM Automático,Todo Terreno,Automático,5,No disponible,AWD,4200000.0,/SSCMEX/BMW/XM/2024/5OD-4.JPG,135916020240401,No Disponible / No Disponible,Hibrido Activo,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,Estándar,Estándar,4000000.00,No disponible,No Disponible,"21"" Aluminio, Opcional 22x10.5"" Aluminio, Opcional 23x10.5"" Aluminio",,5,Cuatro,,Estándar / Estándar / Estándar,Opcional / Opcional,No disponible,Estándar ,,653,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,xDrive 4x4,"J, Estándar ",Opcional Cuero Premium,No disponible,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"21"" Aluminio, Opcional 22x9.5"" Aluminio, Opcional 23x9.5"" Aluminio",Estándar ,Estándar,Incluido,4.4L En V8,No Disponible / No Disponible,Estándar ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Estándar ,5110,Eléctrico,No Disponible
BMW,M,XM Automático,2025,BMW M XM Automático,Todo Terreno,Automático,5,No disponible,AWD,4200000.0,/SSCMEX/BMW/XM/2025/5OD-4.JPG,835916020240527,Estándar / Estándar,Hibrido Activo,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,Estándar,Estándar,4000000.00,No disponible,No Disponible,"21"" Aluminio",,5,Cuatro,,Estándar / Estándar / Estándar,Estándar / Estándar,No disponible,Estándar ,,653,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,xDrive 4x4,"J, Estándar ",Opcional Cuero Premium,No disponible,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"21"" Aluminio",Estándar ,Estándar,Incluido,4.4L En V8,No Disponible / No Disponible,Estándar ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Estándar ,5110,Eléctrico,No Disponible
BMW,M,XM Automático,2025,BMW M XM Automático,Todo Terreno,Automático,5,No disponible,AWD,4200000.0,/SSCMEX/BMW/XM/2025/5OD-4.JPG,835916020240527,Estándar / Estándar,Hibrido Activo,Estándar,Estándar,No Disponible,No Disponible,Estándar,Estándar / Estándar,Estándar,No Disponible ,Estándar,Estándar,4000000.00,No disponible,No Disponible,"21"" Aluminio",,5,Cuatro,,Estándar / Estándar / Estándar,Estándar / Estándar,No disponible,Estándar ,,653,Estándar / Estándar,Estándar ,No disponible,No disponible,Estándar,Estándar,xDrive 4x4,"J, Estándar ",Opcional Cuero Premium,No disponible,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"21"" Aluminio",Estándar ,Estándar,Incluido,4.4L En V8,No Disponible / No Disponible,Estándar ,No Disponible,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Estándar ,5110,Eléctrico,No Disponible
BMW,Serie 3 Sedan,320i Edicion 30 años,2025,BMW Serie 3 Sedan 320i Edicion 30 años,Sedan,Automático,4,No disponible,RWD,1119900.0,/SSCMEX/BMW/SERIES 3/2025/4SA.JPG,846847620250101,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1069900.00,No disponible,No Disponible,"19"" Aluminio",,5,Tres,,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,Estándar ,,184,Estándar / Estándar,No Disponible ,No disponible,No disponible,Estándar,Estándar,trasera,"J, Estándar ",Piel Sintética,17.5,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio",No Disponible ,Estándar,No disponible,2.0L En Línea4,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Estándar ,4633,Gasolina Premium,No Disponible
BMW,Serie 3 Sedan,320i Edicion 30 años,2026,BMW Serie 3 Sedan 320i Edicion 30 años,Sedan,Automático,4,No disponible,RWD,1119900.0,/SSCMEX/BMW/SERIES 3/2026/4SA.JPG,846847620250619,No Disponible / No Disponible,No disponible,Estándar,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1069900.00,No disponible,No Disponible,"19"" Aluminio",,5,Tres,,Estándar / No Disponible / No Disponible,No Disponible / No Disponible,No disponible,Estándar ,,184,Estándar / Estándar,No Disponible ,No disponible,No disponible,Estándar,Estándar,trasera,"J, Estándar ",Piel Sintética,17.5,No disponible,Estándar,No Disponible / No Disponible,Automático,Led ,"19"" Aluminio",No Disponible ,Estándar,No disponible,2.0L En Línea4,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Estándar ,4633,Gasolina Premium,No Disponible
BMW,Serie 4 Gran Coupé,430i,2024,BMW Serie 4 Gran Coupé 430i,Hatchback,Automático,5,No disponible,RWD,1135000.0,/SSCMEX/BMW/SERIES 4/2024/5HA.JPG,733727620240111,Opcional / Opcional,No disponible,Estándar,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1135000.00,No disponible,No Disponible,"18"" Aluminio, Opcional 18x8.5"" Aluminio, Opcional 19x8.5"" Aluminio",,5,Tres,,Estándar / No Disponible / No Disponible,Opcional / Opcional,No disponible,"Estándar , Dynamic Stability Control (DSC)",,258,Estándar / Estándar,Opcional ,No disponible,No disponible,Estándar,Estándar,trasera,"J, Estándar ","Opcional Cuero Premium, Opcional Piel, Opcional Piel Sintética",15.6,No disponible,Estándar,No Disponible / No Disponible,Automático,"Led , Opcional Laser ","18"" Aluminio, Opcional 18x8.0"" Aluminio, Opcional 19x8.0"" Aluminio",Estándar ,Estándar,No disponible,2.0L TwinPower Turbo En Línea4,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Opcional ,4640,Gasolina Premium,No Disponible
BMW,Serie 4 Gran Coupé,430i,2025,BMW Serie 4 Gran Coupé 430i,Hatchback,Automático,5,No disponible,RWD,1200000.0,/SSCMEX/BMW/SERIES 4/2025/5HA.JPG,733727620250101,Opcional / Opcional,No disponible,Estándar,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1140000.00,No disponible,No Disponible,"18"" Aluminio, Opcional 18x8.5"" Aluminio, Opcional 19x8.5"" Aluminio",,5,Tres,,Estándar / No Disponible / No Disponible,Opcional / Opcional,No disponible,Estándar ,,258,Estándar / Estándar,Opcional ,No disponible,No disponible,Estándar,Estándar,trasera,"J, Estándar ","Opcional Piel, Opcional Piel Sintética, Opcional Cuero Premium",15.6,No disponible,Estándar,No Disponible / No Disponible,Automático,"Led , Opcional Laser ","18"" Aluminio, Opcional 18x8.0"" Aluminio, Opcional 19x8.0"" Aluminio",Estándar ,Estándar,No disponible,2.0L En Línea4,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Opcional ,4640,Gasolina Premium,No Disponible
BMW,Serie 4 Gran Coupé,430i,2026,BMW Serie 4 Gran Coupé 430i,Hatchback,Automático,5,No disponible,RWD,1209900.0,/SSCMEX/BMW/SERIES 4/2026/5HA.JPG,733727620250619,Opcional / Opcional,No disponible,Estándar,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1209900.00,No disponible,No Disponible,"18"" Aluminio, Opcional 18x8.5"" Aluminio, Opcional 19x8.5"" Aluminio",,5,Tres,,Estándar / No Disponible / No Disponible,Opcional / Opcional,No disponible,Estándar ,,258,Estándar / Estándar,Opcional ,No disponible,No disponible,Estándar,Estándar,trasera,"J, Estándar ","Opcional Piel, Opcional Piel Sintética, Opcional Cuero Premium",15.6,No disponible,Estándar,No Disponible / No Disponible,Automático,"Led , Opcional Laser ","18"" Aluminio, Opcional 18x8.0"" Aluminio, Opcional 19x8.0"" Aluminio",Estándar ,Estándar,No disponible,2.0L En Línea4,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Opcional ,4640,Gasolina Premium,No Disponible
BMW,Serie 4 Gran Coupé,M440i xDrive,2024,BMW Serie 4 Gran Coupé M440i xDrive,Hatchback,Automático,5,No disponible,AWD,1545000.0,/SSCMEX/BMW/SERIES 4/2024/5HA-4.JPG,830804220240111,Opcional / Opcional,No disponible,Estándar,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1545000.00,No disponible,No Disponible,"19"" Aluminio, Opcional 19x9.0"" Aluminio",,5,Tres,,Estándar / Estándar / Estándar,Opcional / Opcional,No disponible,"Estándar , Dynamic Stability Control (DSC)",,387,Estándar / Estándar,Opcional ,No disponible,No disponible,"Estándar, Comfort Access ",Estándar,xDrive 4x4,"J, Estándar ","Opcional Cuero Premium, Opcional Piel Sintética, Opcional Piel",13.9,No disponible,Estándar,No Disponible / No Disponible,Automático,"Led , Opcional Laser ","19"" Aluminio, Opcional 19x8.5"" Aluminio",Estándar ,Estándar,Incluido,3.0L TwinPower Turbo En Línea6,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Opcional ,4788,Gasolina Premium,No Disponible
BMW,Serie 4 Gran Coupé,M440i xDrive,2025,BMW Serie 4 Gran Coupé M440i xDrive,Hatchback,Automático,5,No disponible,AWD,1590000.0,/SSCMEX/BMW/SERIES 4/2025/5HA-4.JPG,830804220250101,Opcional / Opcional,No disponible,Estándar,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1530000.00,No disponible,No Disponible,"19"" Aluminio, Opcional 19x9.0"" Aluminio",,5,Tres,,Estándar / Estándar / Estándar,Opcional / Opcional,No disponible,Estándar ,,387,Estándar / Estándar,Opcional ,No disponible,No disponible,Estándar,Estándar,4x4,"J, Estándar ","Opcional Piel, Opcional Piel Sintética, Opcional Cuero Premium",14.5,No disponible,Estándar,No Disponible / No Disponible,Automático,"Led , Opcional Laser ","19"" Aluminio, Opcional 19x8.5"" Aluminio",Estándar ,Estándar,Incluido,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Opcional ,4788,Gasolina Premium,No Disponible
BMW,Serie 4 Gran Coupé,M440i xDrive,2026,BMW Serie 4 Gran Coupé M440i xDrive,Hatchback,Automático,5,No disponible,AWD,1599900.0,/SSCMEX/BMW/SERIES 4/2026/5HA-4.JPG,830804220250619,Opcional / Opcional,No disponible,Estándar,Estándar,No Disponible,Estándar,Estándar,Estándar / Estándar,Estándar,No Disponible ,No Disponible,Estándar,1599900.00,No disponible,No Disponible,"19"" Aluminio, Opcional 19x9.0"" Aluminio",,5,Tres,,Estándar / Estándar / Estándar,Opcional / Opcional,No disponible,Estándar ,,387,Estándar / Estándar,Opcional ,No disponible,No disponible,Estándar,Estándar,4x4,"J, Estándar ","Opcional Cuero Premium, Opcional Piel, Opcional Piel Sintética",14.5,No disponible,Estándar,No Disponible / No Disponible,Automático,"Led , Opcional Laser ","19"" Aluminio, Opcional 19x8.5"" Aluminio",Estándar ,Estándar,Incluido,3.0L En Línea6,No Disponible / No Disponible,No Disponible ,Estándar,No Disponible,Estándar / No Disponible / No Disponible,No Disponible,No Disponible,Opcional ,4788,Gasolina Premium,No Disponible
